sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,priors_count.1,jail_time
Male,35,25 - 45,Hispanic,0,1,0,12,(F3),Aggravated Assault W/Dead Weap,0,12,31920
Male,25,25 - 45,African-American,0,0,0,4,(F3),Crim Use of Personal ID Info,1,4,21300
Male,69,Greater than 45,Caucasian,0,0,0,6,(F3),Driving While License Revoked,1,6,600
Male,22,Less than 25,African-American,0,0,0,1,(F3),arrest case no charge,0,1,18540
Male,25,25 - 45,African-American,1,0,0,4,(F3),Poss Pyrrolidinovalerophenone,0,4,68220
Male,29,25 - 45,African-American,0,0,0,1,(F2),Aggravated Battery / Pregnant,0,1,5160
Male,24,Less than 25,Asian,0,0,0,0,(M1),Battery,0,0,17460
Male,22,Less than 25,Native American,0,0,1,1,(F3),Possess Mot Veh W/Alt Vin #,0,1,5340
Male,21,Less than 25,African-American,0,0,0,3,(F3),Grand Theft (Motor Vehicle),1,3,6480
Male,21,Less than 25,African-American,0,0,0,3,(F3),Grand Theft (Motor Vehicle),1,3,6480
Male,28,25 - 45,Hispanic,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,25080
Male,47,Greater than 45,African-American,0,0,0,23,(F2),Poss Wep Conv Felon,1,23,35520
Male,35,25 - 45,African-American,0,0,0,1,(M1),Battery,0,1,77100
Male,29,25 - 45,African-American,0,1,0,13,(F3),Poss Pyrrolidinovalerophenone,1,13,59340
Male,36,25 - 45,Caucasian,0,0,0,14,(F3),Grand Theft in the 3rd Degree,1,14,78660
Male,26,25 - 45,African-American,0,0,0,9,(F3),Drivg While Lic Suspd/Revk/Can,1,9,56280
Male,31,25 - 45,Other,0,0,0,0,(M1),Viol Prot Injunc Repeat Viol,0,0,69840
Male,31,25 - 45,Caucasian,0,0,0,8,(F3),arrest case no charge,0,8,30840
Male,32,25 - 45,African-American,0,0,0,8,(F3),Grand Theft in the 3rd Degree,1,8,53100
Female,27,25 - 45,Caucasian,0,0,0,3,(F3),arrest case no charge,1,3,21720
Female,32,25 - 45,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,65160
Male,68,Greater than 45,Caucasian,0,0,0,0,(F3),Possession of Cocaine,0,0,1140
Male,28,25 - 45,Caucasian,0,0,0,0,(F3),"Deliver 3,4 Methylenediox",0,0,3780
Male,48,Greater than 45,Caucasian,0,0,0,1,(M1),Driving Under The Influence,1,1,21660
Male,23,Less than 25,Caucasian,0,0,0,2,(F3),arrest case no charge,1,2,1920
Male,44,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,16800
Male,42,25 - 45,African-American,0,0,0,7,(M2),Driving License Suspended,0,7,83940
Male,39,25 - 45,African-American,0,0,0,5,(F3),Grand Theft in the 3rd Degree,0,5,1140
Female,46,Greater than 45,Hispanic,0,0,0,2,(F3),Grand Theft in the 3rd Degree,0,2,15060
Male,55,Greater than 45,Caucasian,0,0,0,0,(M1),Battery,0,0,6240
Male,27,25 - 45,African-American,0,0,0,5,(F2),Burglary Dwelling Occupied,1,5,20400
Female,31,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,80580
Male,30,25 - 45,African-American,0,1,0,6,(F3),Poss Pyrrolidinovalerophenone,0,6,24840
Female,23,Less than 25,African-American,0,0,0,0,(F3),Aggravated Assault W/Dead Weap,0,0,81060
Male,52,Greater than 45,African-American,0,0,0,2,(F3),Felony Battery (Dom Strang),0,2,2160
Male,25,25 - 45,African-American,0,0,0,0,(F3),Poss Tetrahydrocannabinols,0,0,65700
Male,32,25 - 45,Caucasian,0,0,2,6,(M1),Refuse Submit Blood/Breath Test,0,6,15000
Male,36,25 - 45,African-American,0,0,0,2,(F3),Driving While License Revoked,0,2,65820
Male,52,Greater than 45,Caucasian,0,0,0,2,(M1),Stalking,0,2,81180
Male,21,Less than 25,African-American,0,0,0,3,(F3),arrest case no charge,1,3,26700
Male,39,25 - 45,Caucasian,0,0,0,2,(M2),Driving Under The Influence,0,2,71640
Female,26,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,70020
Male,28,25 - 45,African-American,0,0,0,8,(F3),Grand Theft in the 3rd Degree,1,8,24720
Male,67,Greater than 45,Caucasian,0,0,0,2,(M1),Refuse Submit Blood/Breath Test,1,2,24720
Male,51,Greater than 45,Caucasian,0,0,0,2,(F3),Felony DUI (level 3),0,2,21540
Male,29,25 - 45,African-American,0,0,0,0,(F3),Felony Battery (Dom Strang),0,0,27240
Female,22,Less than 25,Other,0,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0,0,29580
Male,37,25 - 45,Caucasian,0,0,0,3,(M2),Driving Under The Influence,0,3,72000
Male,23,Less than 25,African-American,0,0,0,2,(M2),Criminal Mischief,1,2,9600
Female,49,Greater than 45,African-American,0,0,0,14,(M1),Battery,1,14,5880
Male,38,25 - 45,Other,2,0,0,9,(F3),Grand Theft (Motor Vehicle),0,9,13740
Male,32,25 - 45,Caucasian,0,0,0,9,(M1),Trespass Other Struct/Conve,1,9,78360
Male,41,25 - 45,Caucasian,0,0,0,9,(M1),Battery,0,9,77820
Male,25,25 - 45,African-American,0,0,0,1,(M1),Battery,0,1,3360
Male,27,25 - 45,African-American,0,0,0,4,(F3),arrest case no charge,0,4,74400
Male,58,Greater than 45,Caucasian,0,0,0,0,(M1),Battery,0,0,52680
Male,35,25 - 45,Caucasian,0,0,0,1,(F3),Possession of Cocaine,0,1,80040
Male,44,25 - 45,African-American,2,0,0,19,(M1),Battery,1,19,34560
Female,27,25 - 45,African-American,0,0,0,1,(F3),Possession of Cocaine,0,1,68340
Female,59,Greater than 45,African-American,0,0,0,2,(F1),arrest case no charge,0,2,66120
Male,31,25 - 45,Caucasian,0,0,0,0,(M2),Disorderly Conduct,0,0,53700
Male,28,25 - 45,African-American,0,0,0,1,(F3),Aggrav Stalking After Injunctn,1,1,78720
Female,39,25 - 45,African-American,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1,0,14220
Male,54,Greater than 45,Caucasian,0,0,0,0,(F2),Agg Battery Grt/Bod/Harm,0,0,60720
Male,21,Less than 25,Hispanic,0,0,0,0,(M1),Battery,1,0,360
Male,43,25 - 45,Caucasian,0,0,0,0,(M1),DUI Property Damage/Injury,0,0,66120
Female,46,Greater than 45,African-American,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,75780
Male,31,25 - 45,African-American,0,0,0,5,(M1),Battery,0,5,21900
Male,30,25 - 45,African-American,4,1,0,11,(F3),Pos Cannabis W/Intent Sel/Del,0,11,12480
Male,27,25 - 45,Caucasian,0,1,3,4,(M1),Battery,1,4,9660
Male,60,Greater than 45,African-American,0,0,0,15,(F3),Felony Petit Theft,0,15,7680
Male,53,Greater than 45,Caucasian,0,0,0,3,(F3),arrest case no charge,0,3,32040
Male,28,25 - 45,African-American,0,0,0,0,(M1),Battery,1,0,10560
Male,46,Greater than 45,Caucasian,0,0,0,1,(F3),Battery on a Person Over 65,0,1,18000
Male,23,Less than 25,African-American,0,0,0,4,(F3),Possession of Cocaine,0,4,52440
Male,24,Less than 25,African-American,0,0,0,0,(M1),Possess Drug Paraphernalia,0,0,63660
Male,30,25 - 45,Other,0,0,0,5,(M2),Burglary Unoccupied Dwelling,0,5,720
Male,43,25 - 45,Caucasian,0,0,0,0,(M2),Susp Drivers Lic 1st Offense,0,0,31320
Male,69,Greater than 45,Caucasian,0,0,0,0,(F3),Felony/Driving Under Influence,0,0,5400
Male,44,25 - 45,African-American,0,0,0,10,(M2),Driving Under The Influence,1,10,12000
Male,51,Greater than 45,African-American,0,0,0,4,(F3),arrest case no charge,0,4,23760
Male,24,Less than 25,Hispanic,0,0,0,11,(F3),Solicit Deliver Cocaine,1,11,52440
Male,31,25 - 45,African-American,0,0,0,1,(F3),Attempt Burglary (Struct),1,1,73320
Male,23,Less than 25,African-American,0,0,0,0,(F3),Pos Cannabis W/Intent Sel/Del,0,0,79920
Male,29,25 - 45,Caucasian,0,0,0,0,(F3),Felony Battery (Dom Strang),0,0,19320
Female,23,Less than 25,African-American,0,0,1,4,(F3),arrest case no charge,0,4,56100
Female,24,Less than 25,African-American,0,0,0,0,(F3),Possession of Cocaine,0,0,63120
Male,26,25 - 45,African-American,2,1,0,8,(M2),Prowling/Loitering,1,8,60900
Male,26,25 - 45,African-American,2,1,0,8,(M2),Prowling/Loitering,1,8,60900
Male,36,25 - 45,Caucasian,0,0,0,5,(M1),Viol Injunct Domestic Violence,1,5,51480
Male,55,Greater than 45,Hispanic,0,0,0,6,(F3),arrest case no charge,0,6,39960
Male,59,Greater than 45,African-American,0,0,0,13,(M1),Trespass After Warning,0,13,1140
Male,27,25 - 45,Caucasian,0,0,0,1,(F3),arrest case no charge,0,1,12540
Male,24,Less than 25,African-American,0,0,0,0,(F2),Felon in Pos of Firearm or Amm,1,0,24900
Male,66,Greater than 45,Caucasian,0,0,0,0,(M1),Battery,0,0,50340
Female,36,25 - 45,Caucasian,0,0,1,3,(F3),Possession of Cocaine,0,3,17460
Male,35,25 - 45,African-American,0,0,0,0,(MO3),arrest case no charge,0,0,8760
Male,40,25 - 45,Other,0,0,0,0,(F3),False Imprisonment,0,0,84840
Male,53,Greater than 45,Hispanic,0,0,0,9,(F3),Felony Petit Theft,1,9,28680
Male,23,Less than 25,Caucasian,0,0,0,1,(F3),Possession of Cocaine,1,1,27360
Male,23,Less than 25,Caucasian,0,0,0,1,(F1),arrest case no charge,0,1,78660
Female,24,Less than 25,African-American,0,0,0,1,(M1),Battery,0,1,76740
Female,22,Less than 25,African-American,0,0,0,0,(M1),Battery,1,0,22440
Male,25,25 - 45,Hispanic,0,0,1,1,(F3),Crimin Mischief Damage $1000+,0,1,85620
Male,56,Greater than 45,African-American,0,0,0,4,(F3),Possession of Cocaine,0,4,4740
Male,29,25 - 45,African-American,0,0,0,0,(F3),Felony Driving While Lic Suspd,0,0,81780
Male,62,Greater than 45,Hispanic,0,0,0,1,(F3),arrest case no charge,0,1,80340
Male,29,25 - 45,Native American,0,0,0,1,(F3),Possession of Cocaine,0,1,3360
Male,29,25 - 45,Caucasian,0,0,0,10,(F3),arrest case no charge,1,10,74880
Male,51,Greater than 45,Asian,0,0,0,1,(F3),arrest case no charge,1,1,14580
Female,58,Greater than 45,African-American,0,0,0,3,(M1),arrest case no charge,0,3,30120
Male,27,25 - 45,Other,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,6060
Male,38,25 - 45,Caucasian,0,0,0,2,(F2),Burglary Unoccupied Dwelling,0,2,67380
Male,24,Less than 25,Caucasian,0,1,2,3,(M2),DUI Level 0.15 Or Minor In Veh,0,3,11880
Male,22,Less than 25,African-American,0,0,0,0,(F7),Burglary Dwelling Armed,1,0,1560
Male,39,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,66960
Male,20,Less than 25,Hispanic,0,0,0,3,(F3),Pos Cannabis W/Intent Sel/Del,1,3,9180
Male,46,Greater than 45,Caucasian,0,0,0,10,(F3),arrest case no charge,1,10,9720
Male,38,25 - 45,Caucasian,0,0,0,1,(F3),Possession Of Methamphetamine,1,1,71220
Male,23,Less than 25,Caucasian,0,0,0,0,(M1),Viol Pretrial Release Dom Viol,1,0,2580
Male,52,Greater than 45,African-American,0,0,0,17,(F3),Possession of Cocaine,0,17,65820
Male,53,Greater than 45,Caucasian,0,0,0,3,(F3),Aggravated Assault w/Firearm,0,3,86040
Male,39,25 - 45,Other,0,0,0,6,(F2),Burglary Unoccupied Dwelling,0,6,7500
Male,25,25 - 45,African-American,0,0,0,0,(F3),Felony Battery,0,0,74580
Male,52,Greater than 45,Caucasian,0,0,0,4,(F3),Possession Of Heroin,0,4,27660
Male,31,25 - 45,African-American,0,0,0,19,(F3),Driving While License Revoked,1,19,70200
Female,25,25 - 45,African-American,0,0,0,1,(M1),Battery,1,1,78000
Male,26,25 - 45,African-American,0,0,0,6,(F2),arrest case no charge,0,6,57960
Male,25,25 - 45,African-American,0,0,1,2,(F3),Possession Burglary Tools,0,2,12240
Male,24,Less than 25,African-American,0,0,0,1,(F1),arrest case no charge,0,1,58020
Male,37,25 - 45,Caucasian,0,0,0,11,(F3),Driving While License Revoked,1,11,1740
Male,36,25 - 45,African-American,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,74400
Male,30,25 - 45,Hispanic,0,0,0,9,(M2),Expired DL More Than 6 Months,0,9,22320
Male,26,25 - 45,African-American,0,0,0,1,(F3),Pos Cannabis W/Intent Sel/Del,1,1,77940
Male,21,Less than 25,Other,0,2,0,3,(F3),Grand Theft in the 3rd Degree,1,3,58020
Male,35,25 - 45,African-American,0,0,0,7,(F3),Resist Officer w/Violence,1,7,15600
Male,22,Less than 25,African-American,0,0,0,2,(F3),Crim Use of Personal ID Info,1,2,73620
Male,22,Less than 25,African-American,0,0,0,2,(F3),Crim Use of Personal ID Info,1,2,73620
Female,61,Greater than 45,Caucasian,0,0,0,2,(M2),Aggravated Assault W/Dead Weap,0,2,63120
Male,25,25 - 45,Caucasian,0,0,0,0,(F2),Aggravated Battery,0,0,19320
Male,36,25 - 45,Hispanic,0,0,0,0,(M2),Operating W/O Valid License,0,0,3840
Male,24,Less than 25,African-American,0,0,0,2,(M2),Susp Drivers Lic 1st Offense,1,2,3540
Male,24,Less than 25,African-American,0,0,0,2,(M2),Susp Drivers Lic 1st Offense,1,2,3540
Male,21,Less than 25,African-American,0,0,1,0,(F3),Grand Theft in the 3rd Degree,1,0,69000
Male,50,Greater than 45,African-American,0,0,0,0,(M1),Battery,0,0,52260
Male,32,25 - 45,Caucasian,2,0,1,15,(F3),Possession of Cocaine,1,15,77340
Male,33,25 - 45,African-American,0,0,0,2,(M1),Battery,1,2,69900
Male,33,25 - 45,African-American,0,0,0,10,(F3),Possession of Cocaine,1,10,24360
Female,23,Less than 25,African-American,0,0,0,4,(M1),arrest case no charge,1,4,20400
Male,25,25 - 45,African-American,0,0,0,2,(F3),Grand Theft in the 3rd Degree,0,2,79860
Male,42,25 - 45,Caucasian,0,0,0,0,(M1),Driving Under The Influence,0,0,86040
Male,29,25 - 45,Caucasian,0,0,0,0,(M1),DUI Property Damage/Injury,0,0,85800
Male,50,Greater than 45,Caucasian,0,0,0,8,(F3),DWI w/Inj Susp Lic / Habit Off,0,8,57840
Male,32,25 - 45,Caucasian,0,0,0,5,(F3),arrest case no charge,1,5,53220
Male,33,25 - 45,African-American,0,0,0,14,(F3),Driving While License Revoked,1,14,5400
Female,23,Less than 25,Hispanic,0,0,1,1,(F3),Grand Theft in the 3rd Degree,0,1,76500
Male,37,25 - 45,African-American,0,1,0,13,(F2),Agg Battery Grt/Bod/Harm,1,13,85440
Male,27,25 - 45,African-American,0,0,0,9,(F2),Burglary Unoccupied Dwelling,1,9,28380
Male,27,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,14040
Male,28,25 - 45,Caucasian,0,0,0,3,(F2),Burglary Unoccupied Dwelling,0,3,1920
Male,26,25 - 45,African-American,0,0,0,7,(F1),Burgl Dwel/Struct/Convey Armed,0,7,10020
Female,52,Greater than 45,African-American,0,0,0,21,(F3),Felony Petit Theft,1,21,82320
Male,21,Less than 25,Hispanic,0,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,1,1,50880
Male,21,Less than 25,Hispanic,0,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,1,1,50880
Male,58,Greater than 45,African-American,0,0,0,1,(F7),arrest case no charge,0,1,86160
Male,27,25 - 45,African-American,0,0,0,4,(F3),"Deliver 3,4 Methylenediox",0,4,3120
Male,36,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,81720
Female,33,25 - 45,Caucasian,1,0,0,1,(M1),Battery,0,1,73080
Male,28,25 - 45,African-American,0,0,0,5,(F3),Aggravated Assault W/o Firearm,1,5,20280
Male,28,25 - 45,Caucasian,0,0,0,1,(F3),Possession of Cocaine,1,1,73140
Female,31,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,77940
Male,30,25 - 45,Caucasian,0,1,0,11,(F3),arrest case no charge,1,11,9720
Male,24,Less than 25,African-American,0,0,0,3,(M1),arrest case no charge,0,3,52560
Male,26,25 - 45,African-American,0,0,0,6,(F3),Possession of Cannabis,1,6,5520
Male,43,25 - 45,Caucasian,0,0,0,0,(M1),DUI- Enhanced,0,0,10740
Male,31,25 - 45,African-American,0,0,1,2,(F3),Crim Use of Personal ID Info,1,2,29940
Male,59,Greater than 45,African-American,0,0,0,2,(F3),Resist Officer w/Violence,0,2,10560
Male,40,25 - 45,African-American,0,0,0,4,(M2),Reckless Driving,0,4,80040
Male,22,Less than 25,African-American,0,0,0,3,(F3),Felony Batt(Great Bodily Harm),1,3,61800
Male,23,Less than 25,African-American,0,0,0,0,(F2),Burglary Unoccupied Dwelling,0,0,6780
Male,42,25 - 45,Caucasian,0,0,0,0,(M1),Driving Under The Influence,0,0,77520
Male,43,25 - 45,Caucasian,0,0,0,3,(M2),Operating W/O Valid License,0,3,8280
Male,30,25 - 45,African-American,0,3,0,18,(M1),Battery,0,18,74820
Male,29,25 - 45,African-American,0,0,0,1,(F3),False Imprisonment,0,1,8940
Male,38,25 - 45,Caucasian,0,0,0,2,(F3),arrest case no charge,1,2,75240
Male,21,Less than 25,Caucasian,0,0,0,1,(F3),Grand Theft in the 3rd Degree,0,1,6780
Male,26,25 - 45,Caucasian,0,0,1,3,(M1),Petit Theft $100- $300,1,3,23880
Female,25,25 - 45,Hispanic,0,0,0,4,(F3),arrest case no charge,1,4,10800
Male,19,Less than 25,African-American,4,1,0,5,(F1),arrest case no charge,0,5,28440
Female,47,Greater than 45,Caucasian,0,0,0,0,(M1),Battery,0,0,80040
Female,35,25 - 45,African-American,0,1,1,16,(F3),Battery on Law Enforc Officer,0,16,21360
Male,51,Greater than 45,African-American,0,0,0,5,(M2),Driving License Suspended,0,5,63480
Male,36,25 - 45,Other,0,0,0,0,(M1),Battery,0,0,73200
Male,25,25 - 45,African-American,0,0,0,1,(F3),Grand Theft in the 3rd Degree,0,1,9180
Male,62,Greater than 45,Hispanic,0,0,0,0,(M1),Battery,0,0,19800
Male,23,Less than 25,African-American,0,0,0,0,(F3),Grand Theft (Motor Vehicle),1,0,25560
Male,34,25 - 45,African-American,0,0,0,7,(F3),arrest case no charge,1,7,59700
Male,35,25 - 45,African-American,0,0,0,1,(M2),Violation License Restrictions,0,1,23340
Male,22,Less than 25,Caucasian,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0,78180
Male,29,25 - 45,African-American,0,0,0,10,(M2),Assault,1,10,60660
Male,40,25 - 45,African-American,0,0,0,0,(F3),Stalking (Aggravated),0,0,420
Male,36,25 - 45,African-American,0,0,0,2,(F3),Possession of Cocaine,0,2,77340
Male,26,25 - 45,African-American,0,0,0,8,(F3),arrest case no charge,1,8,23100
Male,25,25 - 45,African-American,0,0,0,1,(F3),Burglary Structure Unoccup,1,1,85620
Male,69,Greater than 45,Caucasian,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0,0,76200
Male,27,25 - 45,African-American,0,1,0,1,(F3),Grand Theft in the 3rd Degree,0,1,1560
Male,20,Less than 25,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1,0,21840
Male,27,25 - 45,African-American,0,0,0,1,(F2),Throw Deadly Missile Into Veh,0,1,31440
Female,24,Less than 25,African-American,0,0,0,6,(M2),arrest case no charge,0,6,540
Female,39,25 - 45,Caucasian,0,0,0,8,(F3),Grand Theft in the 3rd Degree,0,8,480
Male,42,25 - 45,Caucasian,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0,67740
Male,47,Greater than 45,Other,0,0,0,1,(F3),arrest case no charge,0,1,79980
Female,47,Greater than 45,Caucasian,0,0,0,0,(M1),Battery on Law Enforc Officer,0,0,73680
Male,25,25 - 45,Caucasian,0,0,0,1,(F3),Burglary Conveyance Unoccup,0,1,24840
Male,33,25 - 45,African-American,0,0,0,6,(F3),Carrying Concealed Firearm,0,6,29760
Male,29,25 - 45,Other,0,0,0,0,(F3),Poss Pyrrolidinovalerophenone,0,0,2820
Male,46,Greater than 45,Caucasian,0,0,0,1,(F3),arrest case no charge,1,1,56460
Male,25,25 - 45,African-American,0,0,0,0,(F3),Uttering a Forged Instrument,0,0,4140
Male,22,Less than 25,African-American,0,0,0,0,(F3),Pos Cannabis W/Intent Sel/Del,0,0,78600
Male,21,Less than 25,Caucasian,0,0,0,0,(F3),Burglary Structure Unoccup,0,0,66780
Male,30,25 - 45,African-American,0,0,0,1,(M1),Battery,0,1,75060
Male,46,Greater than 45,Caucasian,0,0,0,9,(M1),Battery,0,9,12960
Male,33,25 - 45,African-American,0,0,0,0,(F3),Poss Meth/Diox/Meth/Amp (MDMA),0,0,83640
Male,55,Greater than 45,Hispanic,0,0,0,1,(M1),Reckless Display Of Weapon,0,1,57960
Male,26,25 - 45,African-American,0,0,0,2,(M1),Battery,0,2,6480
Male,33,25 - 45,African-American,0,0,0,0,(F3),arrest case no charge,1,0,71700
Male,40,25 - 45,African-American,0,0,0,1,(M1),Battery,0,1,4860
Male,34,25 - 45,Caucasian,0,0,0,0,(F3),Possession of Cocaine,0,0,5580
Male,22,Less than 25,Caucasian,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1,1,60240
Male,28,25 - 45,Hispanic,0,0,0,3,(M2),arrest case no charge,0,3,65220
Male,22,Less than 25,African-American,0,0,1,4,(F2),arrest case no charge,0,4,81120
Male,31,25 - 45,African-American,0,0,0,4,(M2),Assault,1,4,1620
Male,59,Greater than 45,Caucasian,0,0,0,3,(M1),Driving Under The Influence,1,3,25920
Male,59,Greater than 45,Caucasian,0,0,0,3,(M1),Driving Under The Influence,1,3,25920
Male,37,25 - 45,Native American,0,0,0,0,(F1),"Aggr Child Abuse-Torture,Punish",0,0,74640
Female,41,25 - 45,Caucasian,0,0,0,1,(F3),arrest case no charge,0,1,17100
Male,50,Greater than 45,African-American,0,0,0,0,(F2),Aggravated Battery / Pregnant,0,0,1860
Female,21,Less than 25,Other,0,0,0,2,(F3),Neglect Child / No Bodily Harm,1,2,24360
Male,57,Greater than 45,African-American,0,0,0,8,(F3),Felony Battery w/Prior Convict,1,8,78060
Male,35,25 - 45,Caucasian,0,0,0,1,(M2),Exposes Culpable Negligence,0,1,50640
Male,31,25 - 45,African-American,0,0,0,5,(M2),Assault,1,5,79380
Male,21,Less than 25,Hispanic,0,0,3,2,(F3),Grand Theft in the 3rd Degree,0,2,82440
Male,44,25 - 45,African-American,0,0,0,9,(F3),Grand Theft in the 3rd Degree,0,9,28680
Male,27,25 - 45,African-American,0,0,0,1,(M1),Battery,0,1,72180
Male,39,25 - 45,Hispanic,0,0,0,0,(F3),Sell or Offer for Sale Counterfeit Goods,0,0,63060
Male,48,Greater than 45,African-American,0,0,0,5,(F3),Possession of Cocaine,1,5,63960
Female,25,25 - 45,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,8820
Male,51,Greater than 45,African-American,0,0,0,5,(M2),arrest case no charge,0,5,17460
Male,50,Greater than 45,Caucasian,0,0,0,0,(F3),arrest case no charge,1,0,72600
Male,30,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,8220
Male,34,25 - 45,Caucasian,1,0,0,26,(F3),Driving While License Revoked,0,26,57300
Male,57,Greater than 45,Caucasian,0,0,0,2,(F1),arrest case no charge,0,2,5880
Male,69,Greater than 45,Caucasian,0,0,0,0,(M1),Driving Under The Influence,0,0,81540
Male,55,Greater than 45,Caucasian,0,0,0,0,(M2),DUI - Enhanced,0,0,81900
Male,59,Greater than 45,African-American,0,0,0,4,(F3),Possession of Cocaine,1,4,1380
Female,42,25 - 45,African-American,0,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0,0,18360
Male,20,Less than 25,Hispanic,2,0,0,2,(F3),arrest case no charge,1,2,6000
Male,26,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,72240
Male,58,Greater than 45,African-American,0,0,0,16,(F3),Felony Petit Theft,1,16,19560
Male,21,Less than 25,Other,0,0,0,0,(F3),Purchase Cannabis,0,0,72660
Male,32,25 - 45,African-American,0,0,0,21,(F3),Felony Petit Theft,1,21,5400
Female,24,Less than 25,Hispanic,0,0,0,0,(M1),Battery,0,0,840
Male,66,Greater than 45,Caucasian,0,0,0,14,(F2),Aggrav Battery w/Deadly Weapon,0,14,79620
Female,27,25 - 45,African-American,0,0,1,4,(M1),Battery,0,4,60300
Male,53,Greater than 45,African-American,0,0,0,10,(F7),arrest case no charge,0,10,11160
Male,42,25 - 45,African-American,0,0,0,1,(F3),Tampering With Physical Evidence,0,1,6960
Male,29,25 - 45,African-American,0,0,0,8,(F2),arrest case no charge,1,8,76920
Male,21,Less than 25,African-American,0,0,0,1,(F3),arrest case no charge,0,1,86160
Male,31,25 - 45,Caucasian,0,0,0,1,(M1),DUI Level 0.15 Or Minor In Veh,1,1,12180
Male,58,Greater than 45,Caucasian,0,0,0,0,(M1),DUI Blood Alcohol Above 0.20,0,0,20100
Male,28,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,17220
Male,39,25 - 45,Hispanic,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0,64080
Male,22,Less than 25,African-American,0,0,1,1,(F3),Pos Cannabis W/Intent Sel/Del,1,1,82020
Male,46,Greater than 45,Caucasian,0,0,0,1,(M1),Battery,1,1,67200
Male,29,25 - 45,Other,0,0,0,1,(F3),arrest case no charge,0,1,78720
Male,50,Greater than 45,Caucasian,0,0,0,0,(M1),Battery,1,0,27120
Male,46,Greater than 45,African-American,0,0,0,2,(F3),Grand Theft in the 3rd Degree,0,2,80460
Female,44,25 - 45,African-American,0,1,0,11,(F3),Possession of Cocaine,1,11,28020
Male,35,25 - 45,African-American,0,0,0,4,(M1),Battery,0,4,56460
Male,30,25 - 45,African-American,0,1,0,14,(F3),Grand Theft (Motor Vehicle),1,14,6000
Female,28,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,5940
Male,42,25 - 45,African-American,0,0,0,2,(F3),Possession of Cocaine,0,2,74280
Male,52,Greater than 45,Caucasian,0,0,0,3,(F2),arrest case no charge,0,3,78240
Male,46,Greater than 45,African-American,0,0,0,5,(F3),Grand Theft (Motor Vehicle),1,5,7140
Female,53,Greater than 45,Caucasian,0,0,0,0,(M1),DUI Property Damage/Injury,0,0,17940
Male,42,25 - 45,African-American,0,0,0,0,(F3),Poss Pyrrolidinovalerophenone,1,0,4800
Male,37,25 - 45,African-American,0,0,0,12,(F3),arrest case no charge,0,12,15660
Male,29,25 - 45,Caucasian,0,0,0,7,(F2),Aggravated Battery / Pregnant,1,7,900
Male,32,25 - 45,African-American,0,0,1,8,(F2),Aggravated Battery / Pregnant,0,8,18540
Male,31,25 - 45,Other,0,0,0,5,(F3),Grand Theft in the 3rd Degree,1,5,14460
Female,33,25 - 45,African-American,0,0,0,1,(M1),Battery,0,1,84720
Male,25,25 - 45,Caucasian,0,0,0,4,(F2),Robbery / No Weapon,0,4,15000
Female,33,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,6000
Male,21,Less than 25,Hispanic,0,0,0,1,(F2),arrest case no charge,0,1,78600
Female,64,Greater than 45,Caucasian,0,0,0,7,(M2),Expired DL More Than 6 Months,0,7,11040
Male,35,25 - 45,Caucasian,0,0,0,1,(F3),Possession of Cocaine,1,1,14820
Male,56,Greater than 45,African-American,0,0,0,1,(F2),arrest case no charge,0,1,77520
Male,38,25 - 45,Caucasian,0,0,0,0,(M1),Battery,1,0,71460
Female,40,25 - 45,African-American,0,0,0,4,(M2),arrest case no charge,0,4,19080
Male,34,25 - 45,African-American,0,0,0,3,(F3),arrest case no charge,0,3,84360
